site,plotID,year,shannon_exotic,evenness_exotic,nspp_exotic,shannon_notexotic,evenness_notexotic,nspp_notexotic,shannon_native,evenness_native,nspp_native,shannon_unknown,evenness_unknown,nspp_unknown,rel_cover_native,rel_cover_unknown,rel_cover_exotic,cover_native,cover_unknown,cover_exotic,rel_cover_notexotic,cover_notexotic,shannon_total,evenness_total,nspp_total,shannon_family,evenness_family,nfamilies,invaded,turnover,nestedness,monthyear.x,year_plot,easting.x,northing.x,mean.max.canopy.ht.aop,max.canopy.ht.aop,rumple.aop,deepgaps.aop,deepgap.fraction.aop,cover.fraction.aop,top.rugosity.aop,vert.sd.aop,sd.sd.aop,entropy.aop,GFP.AOP.aop,VAI.AOP.aop,VCI.AOP.aop,siteID,monthyear.y,sitemonthyear,latitude,longitude,easting.y,northing.y,X_TSC_2015median,X_TSC_2016median,X_TSC_2017median,X_TSC_2018median,X_TSC_2019median,X_TSC_2020median
CLBJ,CLBJ_001,2018,0.07237779,0.036188895,2,3.355000052,0.045337839,74,3.333552388,0.046951442,71,0.636514168,0.318257084,2,0.890083048,0.002931119,0.106985833,37.95833333,0.125,4.5625,0.893222818,38.16666667,3.344214649,0.044002824,76,1.59826096,0.057080749,28,invaded,0.767616192,0.041731902,2018-05,2018CLBJ_001,633141.62,3696324.985,2.448901196,11.638,1.437946813,92,0.054729328,0.945270672,3.535251526,3.350802721,1.516788174,0.441968917,0.721987509,11.88139243,NA,CLBJ,5/1/2018,CLBJ2018-05,33.397987,-97.568339,633141.62,3696324.985,1437,1803,2168,45,410,776
CLBJ,CLBJ_002,2018,0.994923633,0.331641211,3,3.145639893,0.034567471,91,3.058299701,0.035561624,86,0.897945725,0.299315242,3,0.976286871,0.01735107,0.006362059,35.16666667,0.625,0.229166667,0.993717875,36.25,3.170241843,0.033725977,94,2.531216494,0.07670353,33,invaded,0.808435852,0.066132617,2018-05,2018CLBJ_002,632872.228,3696985.964,6.224252974,12.726,2.220857039,84,0.049970256,0.950029744,3.286902288,5.085203968,1.105465442,0.531204255,0.828285818,7.852320241,NA,CLBJ,5/1/2018,CLBJ2018-05,33.40398,-97.571138,632872.228,3696985.964,0,0,0,0,0,0
CLBJ,CLBJ_003,2018,0,0,1,2.730765892,0.053544429,51,2.701680141,0.056285003,48,0.562335145,0.281167572,2,0.993112948,0.005509642,0.00137741,45.0625,0.25,0.0625,0.998624484,45.375,2.737447422,0.05264322,52,1.941241183,0.102170589,19,invaded,0.868008949,0.035585823,2018-05,2018CLBJ_003,632722.868,3696984.829,5.585033187,12.292,2.318286542,84,0.049970256,0.950029744,3.614172157,4.498870221,1.428695395,0.509258133,0.804522222,8.295774897,NA,CLBJ,5/1/2018,CLBJ2018-05,33.403989,-97.572744,632722.868,3696984.829,0,0,0,0,0,0
CLBJ,CLBJ_031,2017,1.559581156,0.311916231,5,3.529321975,0.03329549,106,3.42055876,0.035263492,97,1.511961714,0.188995214,8,0.946513471,0.047147385,0.006339144,49.77083333,2.479166667,0.333333333,0.993675889,52.375,3.5551906,0.032028744,111,1.790911062,0.059697035,30,invaded,0.792717087,0.064287744,2017-05,2017CLBJ_031,630681.931,3693772.963,0.11562766,3.241,1.013953636,83,0.049375372,0.950624628,0.151689825,1.518552375,0.425466797,0.321200219,0.632020367,15.4274005,NA,CLBJ,5/1/2017,CLBJ2017-05,33.375278,-97.595151,630681.931,3693772.963,0,0,0,0,0,0
CLBJ,CLBJ_032,2017,0.269181204,0.033647651,8,3.433012627,0.041361598,83,3.258363757,0.046548054,70,1.55805771,0.14164161,11,0.593381295,0.054964029,0.351654676,42.95833333,3.979166667,25.45833333,0.650757359,47.4375,2.975044329,0.032692795,91,1.397955903,0.049926997,28,invaded,0.830769231,0.035897436,2017-05,2017CLBJ_032,630743.201,3697195.761,0.820608641,7.996,1.258315826,84,0.049970256,0.950029744,1.746166419,2.614569729,0.527246034,0.403390982,0.731243519,10.05529328,NA,CLBJ,5/1/2017,CLBJ2017-05,33.406134,-97.593996,630743.201,3697195.761,179,10,192.5,5,370,736
CLBJ,CLBJ_033,2018,1.30130555,0.325326388,4,2.85595611,0.040224734,71,2.810174348,0.043233452,65,1.538834084,0.256472347,6,0.981460674,0.010674157,0.007865169,36.39583333,0.395833333,0.291666667,0.992134831,36.79166667,2.889671869,0.038528958,75,2.271251866,0.075708396,30,invaded,0.802973978,0.051221346,2018-05,2018CLBJ_033,628342.456,3694373.135,4.39572254,11.092,1.724853976,106,0.063057704,0.936942296,2.729675747,3.414002256,0.887869032,0.431133129,0.732220385,10.69589812,NA,CLBJ,5/1/2018,CLBJ2018-05,33.380971,-97.620209,628342.456,3694373.135,0,0,0,0,0,0
CLBJ,CLBJ_034,2017,0,0,0,2.413884611,0.037136686,65,2.79130377,0.045759078,61,0.098680667,0.024670167,4,0.611764706,0.388235294,0,42.25,26.8125,0,1,69.0625,2.413884611,0.037136686,65,1.880889329,0.081777797,23,not_invaded,0.80620155,0.033336319,2017-05,2017CLBJ_034,632391.857,3687804.606,0.203290383,6.113,1.036968775,90,0.05353956,0.94646044,0.527138364,1.911099386,0.051544826,0.351884535,0.689181676,9.245377133,NA,CLBJ,5/1/2017,CLBJ2017-05,33.321251,-97.57765,632391.857,3687804.606,0,0,0,0,0,0
CLBJ,CLBJ_034,2017,0,0,0,2.413884611,0.037136686,65,2.79130377,0.045759078,61,0.098680667,0.024670167,4,0.611764706,0.388235294,0,42.25,26.8125,0,1,69.0625,2.413884611,0.037136686,65,1.880889329,0.081777797,23,not_invaded,0.80620155,0.033336319,2017-05,2017CLBJ_034,632391.857,3687804.606,0.203290383,6.113,1.036968775,90,0.05353956,0.94646044,0.527138364,1.911099386,0.051544826,0.351884535,0.689181676,9.245377133,NA,CLBJ,5/1/2018,CLBJ2018-05,33.321251,-97.57765,632391.857,3687804.606,0,0,0,0,0,0
CLBJ,CLBJ_034,2018,0,0,0,2.702211589,0.043584058,62,2.663155432,0.046722025,57,1.200684562,0.300171141,4,0.993361968,0.006638032,0,53,0.354166667,0,1,53.45833333,2.702211589,0.043584058,62,1.947644646,0.088529302,22,not_invaded,0.808709176,0.029873501,2018-05,2018CLBJ_034,632391.857,3687804.606,0.250483083,6.655,1.060121877,85,0.05056514,0.94943486,0.76864138,2.137191643,0.164850588,0.364986783,0.730774449,8.640293183,NA,CLBJ,5/1/2017,CLBJ2017-05,33.321251,-97.57765,632391.857,3687804.606,0,0,0,0,0,0
CLBJ,CLBJ_034,2018,0,0,0,2.702211589,0.043584058,62,2.663155432,0.046722025,57,1.200684562,0.300171141,4,0.993361968,0.006638032,0,53,0.354166667,0,1,53.45833333,2.702211589,0.043584058,62,1.947644646,0.088529302,22,not_invaded,0.808709176,0.029873501,2018-05,2018CLBJ_034,632391.857,3687804.606,0.250483083,6.655,1.060121877,85,0.05056514,0.94943486,0.76864138,2.137191643,0.164850588,0.364986783,0.730774449,8.640293183,NA,CLBJ,5/1/2018,CLBJ2018-05,33.321251,-97.57765,632391.857,3687804.606,0,0,0,0,0,0
